,potter?
0,True
1,True
2,True
3,True
4,True
5,True
6,False
7,True
8,True
9,False
10,False
11,True
12,True
13,True
14,True
15,False
16,False
17,False
18,False
19,False
20,True
21,True
22,True
23,False
24,False
25,False
26,True
27,False
28,False
29,True
30,False
31,False
32,False
33,True
34,True
35,False
36,False
37,True
38,True
39,True
40,True
41,False
42,True
43,True
44,False
45,False
46,False
47,True
48,True
49,True
50,True
51,True
52,True
53,False
54,False
55,True
56,False
57,False
58,False
59,True
60,False
61,True
62,False
63,False
64,False
65,False
66,True
67,True
68,True
69,True
70,False
71,False
72,True
73,False
74,True
75,True
76,True
77,True
78,False
79,True
80,True
81,False
82,False
83,False
84,True
85,False
86,False
87,False
88,False
89,True
90,False
91,True
92,True
93,False
94,True
95,True
96,True
97,True
98,True
99,False
100,False
101,True
102,True
103,True
104,True
105,False
106,True
107,True
108,False
109,False
110,True
111,False
112,False
113,False
114,True
115,False
116,True
117,False
118,True
119,False
120,True
121,False
122,True
123,True
124,True
125,True
126,True
127,True
128,False
129,True
130,True
131,False
132,False
133,False
134,False
135,False
136,True
137,True
138,True
139,False
140,True
141,False
142,True
143,False
144,True
145,False
146,True
147,False
148,False
149,True
150,False
151,True
152,False
153,True
154,True
155,False
156,True
157,False
158,True
159,False
160,False
161,True
162,True
163,False
164,True
165,True
166,False
167,False
168,False
169,False
170,True
171,True
172,True
173,True
174,True
175,False
176,True
177,True
178,True
179,False
180,True
181,True
182,False
183,True
184,True
185,False
186,False
187,True
188,False
189,True
190,False
191,False
192,False
193,True
194,True
195,False
196,True
197,True
198,True
199,False
200,False
201,True
202,True
203,False
204,False
205,True
206,False
207,False
208,True
209,True
210,False
211,False
212,True
213,True
214,False
215,False
216,False
217,False
218,False
219,False
220,True
221,True
222,False
223,False
224,False
225,True
226,True
227,True
228,False
229,True
230,False
231,True
232,True
233,True
234,True
235,True
236,False
237,False
238,False
239,True
240,True
241,True
242,False
243,False
244,False
245,True
246,False
247,False
248,True
249,True
250,False
251,True
252,True
253,True
254,True
255,True
256,False
257,False
258,False
259,True
260,True
261,False
262,False
263,True
264,True
265,False
266,True
267,False
268,False
269,True
270,True
271,False
272,True
273,False
274,True
275,True
276,True
277,False
278,True
279,False
280,False
281,False
282,True
283,True
284,False
285,False
286,False
287,False
288,False
289,True
290,False
